County,Land Area Square Kilometers
Bronx,108.86
Kings,182.88
New York,59.47
Queens,282.93
Richmond,151.46
Albany,1355.73
Allegany,2668.26
Broome,1830.66
Cattaraugus,3392.50
Cayuga,1795.33
Chautauqua,2750.70
Chemung,1057.16
Chenango,2316.38
Clinton,2690.87
Columbia,1646.53
Cortland,1294.09
Delaware,3746.08
Dutchess,2076.11
Erie,2704.49
Essex,4653.69
Franklin,4225.54
Fulton,1285.07
Genesee,1279.74
Greene,1677.66
Hamilton,4455.79
Herkimer,3655.12
Jefferson,3294.98
Lewis,3303.32
Livingston,1637.21
Madison,1698.67
Monroe,1707.55
Montgomery,1048.48
Nassau,742.52
Niagara,1354.43
Oneida,3140.88
Onondaga,2020.94
Ontario,1668.94
Orange,2114.31
Orleans,1013.72
Oswego,2469.04
Otsego,2597.24
Putnam,599.01
Rensselaer,1693.75
Rockland,451.23
St Lawrence,6955.67
Saratoga,2102.66
Schenectady,533.80
Schoharie,1611.02
Schuyler,851.35
Seneca,841.51
Steuben,3606.92
Suffolk,2362.59
Sullivan,2511.54
Tioga,1343.40
Tompkins,1232.96
Ulster,2917.57
Warren,2251.45
Washington,2163.78
Wayne,1564.90
Westchester,1121.00
Wyoming,1535.63
Yates,876.04
